precursor.m.z,m.z_Floor,retention.time.range,retention.time.range.left.boundary,RT_Floor,retention.time.range.right.boundary,product ion detection: 89,product ion detection: 103,product ion detection: 116,product ion detection: 130,product ion detection: total detected product ions,product ion intensity: 89,product ion intensity: 103,product ion intensity: 116,product ion intensity: 130,product ion intensity: intensity sum of total intensity product ions
144,144,RT: 5.04,5,5,5.1,TRUE,TRUE,FALSE,FALSE,2,7028.374023,8608.178711,NA,NA,15636.55273
162,162,RT: 7.11,7.1,7.1,7.2,TRUE,FALSE,TRUE,FALSE,2,8247.251953,NA,6949.765625,NA,15197.01758
144,144,RT: 4.43,4.4,4.4,4.5,TRUE,FALSE,TRUE,FALSE,2,4513.963867,NA,9857.764648,NA,14371.72852
203,203,RT: 5.84,5.8,5.8,5.9,FALSE,FALSE,TRUE,FALSE,1,NA,NA,14335.97949,NA,14335.97949
162,162,RT: 7.54,7.5,7.5,7.6,TRUE,TRUE,TRUE,FALSE,3,3261.041992,668.432373,10317.6123,NA,14247.08667
162,162,RT: 6.67,6.6,6.6,6.7,TRUE,FALSE,FALSE,FALSE,1,14213.86133,NA,NA,NA,14213.86133
178,178,RT: 6.00,6,6,6.1,TRUE,FALSE,FALSE,FALSE,1,14085.56543,NA,NA,NA,14085.56543
166,166,RT: 4.62,4.6,4.6,4.7,FALSE,TRUE,FALSE,FALSE,1,NA,13054.78809,NA,NA,13054.78809
162,162,RT: 7.42,7.4,7.4,7.5,TRUE,FALSE,TRUE,FALSE,2,3768.693848,NA,9145.547852,NA,12914.2417
389,389,RT: 5.75,5.7,5.7,5.8,FALSE,TRUE,TRUE,FALSE,2,NA,926.0795288,11728.46582,NA,12654.54535
208,208,RT: 5.17,5.1,5.1,5.2,TRUE,FALSE,FALSE,FALSE,1,12287.8623,NA,NA,NA,12287.8623
134,134,RT: 4.96,4.9,4.9,5,FALSE,FALSE,TRUE,FALSE,1,NA,NA,12159.66406,NA,12159.66406
208,208,RT: 7.11,7.1,7.1,7.2,TRUE,FALSE,TRUE,FALSE,2,873.3046875,NA,11237.75879,NA,12111.06348
208,208,RT: 7.49,7.4,7.4,7.5,TRUE,FALSE,TRUE,FALSE,2,4140.796387,NA,7828.571777,NA,11969.36816
226,226,RT: 4.96,4.9,4.9,5,FALSE,FALSE,TRUE,FALSE,1,NA,NA,11870.74414,NA,11870.74414
265,265,RT: 5.04,5,5,5.1,FALSE,TRUE,FALSE,FALSE,1,NA,11667.45996,NA,NA,11667.45996
163,163,RT: 4.96,4.9,4.9,5,FALSE,FALSE,TRUE,FALSE,1,NA,NA,11369.80469,NA,11369.80469
302,302,RT: 5.97,5.9,5.9,6,FALSE,TRUE,FALSE,FALSE,1,NA,11339.82227,NA,NA,11339.82227
166,166,RT: 5.04,5,5,5.1,FALSE,TRUE,FALSE,FALSE,1,NA,11152.37402,NA,NA,11152.37402
217,217,RT: 5.04,5,5,5.1,FALSE,TRUE,FALSE,FALSE,1,NA,10549.05273,NA,NA,10549.05273
134,134,RT: 5.84,5.8,5.8,5.9,TRUE,FALSE,TRUE,FALSE,2,4600.64502,NA,5872.758301,NA,10473.40332
191,191,RT: 5.04,5,5,5.1,TRUE,TRUE,FALSE,FALSE,2,8917.298828,1473.609253,NA,NA,10390.90808
190,190,RT: 4.43,4.4,4.4,4.5,TRUE,TRUE,TRUE,FALSE,3,810.0542603,1081.820801,8360.703125,NA,10252.57819
192,192,RT: 5.50,5.5,5.5,5.6,FALSE,TRUE,FALSE,FALSE,1,NA,10234.90918,NA,NA,10234.90918
249,249,RT: 5.33,5.3,5.3,5.4,FALSE,FALSE,TRUE,FALSE,1,NA,NA,10154.21289,NA,10154.21289
185,185,RT: 4.96,4.9,4.9,5,FALSE,FALSE,TRUE,FALSE,1,NA,NA,9904.6875,NA,9904.6875
203,203,RT: 6.06,6,6,6.1,TRUE,TRUE,TRUE,FALSE,3,363.7154846,601.8200073,8818.621094,NA,9784.156586
231,231,RT: 4.66,4.6,4.6,4.7,FALSE,TRUE,TRUE,FALSE,2,NA,19.32544708,9651.771484,NA,9671.096931
117,117,RT: 4.42,4.4,4.4,4.5,TRUE,FALSE,FALSE,FALSE,1,9484.28418,NA,NA,NA,9484.28418
274,274,RT: 6.06,6,6,6.1,FALSE,TRUE,TRUE,FALSE,2,NA,953.0111084,8515.688477,NA,9468.699585
203,203,RT: 5.71,5.7,5.7,5.8,FALSE,FALSE,TRUE,FALSE,1,NA,NA,9344.423828,NA,9344.423828
163,163,RT: 5.84,5.8,5.8,5.9,TRUE,FALSE,TRUE,FALSE,2,5233.109863,NA,4092.679932,NA,9325.789795
162,162,RT: 4.21,4.2,4.2,4.3,TRUE,FALSE,TRUE,FALSE,2,6296.796875,NA,2893.132568,NA,9189.929443
208,208,RT: 7.01,7,7,7.1,TRUE,FALSE,TRUE,FALSE,2,3738.697021,NA,5449.782715,NA,9188.479736
166,166,RT: 4.18,4.1,4.1,4.2,FALSE,TRUE,FALSE,FALSE,1,NA,9121.464844,NA,NA,9121.464844
208,208,RT: 7.37,7.3,7.3,7.4,TRUE,FALSE,TRUE,FALSE,2,1119.123779,NA,7970.913086,NA,9090.036865
264,264,RT: 5.23,5.2,5.2,5.3,FALSE,TRUE,FALSE,FALSE,1,NA,9059.936523,NA,NA,9059.936523
313,313,RT: 5.75,5.7,5.7,5.8,FALSE,TRUE,TRUE,FALSE,2,NA,8933.615234,23.50230789,NA,8957.117542
384,384,RT: 7.78,7.7,7.7,7.8,TRUE,FALSE,FALSE,FALSE,1,8814.180664,NA,NA,NA,8814.180664
208,208,RT: 7.23,7.2,7.2,7.3,TRUE,FALSE,TRUE,FALSE,2,2126.836426,NA,6642.032227,NA,8768.868653
134,134,RT: 5.03,5,5,5.1,TRUE,FALSE,FALSE,FALSE,1,8739.68457,NA,NA,NA,8739.68457
166,166,RT: 4.72,4.7,4.7,4.8,FALSE,TRUE,FALSE,FALSE,1,NA,8489.811523,NA,NA,8489.811523
208,208,RT: 7.80,7.8,7.8,7.9,FALSE,FALSE,TRUE,FALSE,1,NA,NA,8267.277344,NA,8267.277344
208,208,RT: 6.85,6.8,6.8,6.9,TRUE,FALSE,TRUE,FALSE,2,1298.573486,NA,6961.905273,NA,8260.478759
208,208,RT: 7.67,7.6,7.6,7.7,FALSE,TRUE,TRUE,FALSE,2,NA,867.7696533,7218.102051,NA,8085.871704
203,203,RT: 7.11,7.1,7.1,7.2,TRUE,FALSE,TRUE,FALSE,2,735.6168823,NA,7271.072754,NA,8006.689636
157,157,RT: 5.03,5,5,5.1,TRUE,FALSE,FALSE,FALSE,1,7627.986816,NA,NA,NA,7627.986816
162,162,RT: 6.92,6.9,6.9,7,TRUE,FALSE,FALSE,FALSE,1,7577.365234,NA,NA,NA,7577.365234
302,302,RT: 5.40,5.4,5.4,5.5,FALSE,FALSE,TRUE,FALSE,1,NA,NA,7421.862305,NA,7421.862305
162,162,RT: 7.78,7.7,7.7,7.8,TRUE,FALSE,FALSE,FALSE,1,7416.762207,NA,NA,NA,7416.762207
398,398,RT: 7.13,7.1,7.1,7.2,TRUE,FALSE,FALSE,FALSE,1,7413.985352,NA,NA,NA,7413.985352
170,170,RT: 4.43,4.4,4.4,4.5,TRUE,FALSE,TRUE,FALSE,2,1220.599731,NA,5896.837891,NA,7117.437622
162,162,RT: 6.34,6.3,6.3,6.4,FALSE,FALSE,TRUE,FALSE,1,NA,NA,7067.731934,NA,7067.731934
374,374,RT: 7.57,7.5,7.5,7.6,FALSE,TRUE,FALSE,FALSE,1,NA,6887.847656,NA,NA,6887.847656
166,166,RT: 7.72,7.7,7.7,7.8,FALSE,TRUE,FALSE,FALSE,1,NA,6834.304688,NA,NA,6834.304688
249,249,RT: 5.40,5.4,5.4,5.5,TRUE,FALSE,TRUE,FALSE,2,564.1425781,NA,6131.552734,NA,6695.695312
188,188,RT: 5.34,5.3,5.3,5.4,FALSE,TRUE,TRUE,FALSE,2,NA,116.9812393,6470.143555,NA,6587.124794
388,388,RT: 5.63,5.6,5.6,5.7,FALSE,TRUE,TRUE,FALSE,2,NA,485.7572937,5883.824707,NA,6369.582001
280,280,RT: 5.34,5.3,5.3,5.4,FALSE,TRUE,FALSE,FALSE,1,NA,6315.615234,NA,NA,6315.615234
177,177,RT: 6.29,6.2,6.2,6.3,TRUE,FALSE,TRUE,FALSE,2,5693.806641,NA,549.1625366,NA,6242.969178
177,177,RT: 7.42,7.4,7.4,7.5,TRUE,FALSE,FALSE,FALSE,1,6180.394043,NA,NA,NA,6180.394043
167,167,RT: 6.98,6.9,6.9,7,FALSE,TRUE,FALSE,FALSE,1,NA,6169.487305,NA,NA,6169.487305
238,238,RT: 6.67,6.6,6.6,6.7,TRUE,FALSE,FALSE,FALSE,1,6150.802246,NA,NA,NA,6150.802246
349,349,RT: 5.04,5,5,5.1,FALSE,TRUE,FALSE,FALSE,1,NA,6100.101563,NA,NA,6100.101563
166,166,RT: 7.44,7.4,7.4,7.5,FALSE,TRUE,FALSE,FALSE,1,NA,6059.42041,NA,NA,6059.42041
342,342,RT: 5.40,5.4,5.4,5.5,TRUE,FALSE,TRUE,FALSE,2,325.964325,NA,5703.605957,NA,6029.570282
