precursor m/z,intensity,rawfile name,precursor scan,scan range,retention time range,retention time,retention time range left boundary,retention time range right boundary
245.1080627,547.5452881,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
251.0010071,453.0959778,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
253.8700562,509.1104126,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
256.1070251,1134.893677,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
262.8340149,850.9215698,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
265.375061,1472.649658,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
266.5010681,450.8748474,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
269.1679993,1302.998413,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
273.3359985,489.8700867,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
277.9160156,247.9221039,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
279.4970093,756.3823853,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
283,39.23668289,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
284.7620544,993.3312988,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
285.428009,922.6171265,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
289.2670593,669.9718018,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
291.3359985,540.0167847,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
292.25,93.69603729,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
293.3880615,766.7697754,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
296.5,305.0427246,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
297.4440002,1094.353394,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
299.75,361.2094116,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
300.5,610.1140137,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
303.8359985,306.9841003,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
304.8370667,115.2497253,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
309.3269958,719.4763184,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
310.2660522,151.9236298,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
319.0360718,148.5910797,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
323.5020142,23.33780861,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
328.1670227,668.7163696,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
329.7250061,27.26839447,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
336.1660156,1415.783325,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
337.0429993,226.1899872,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
340.5830078,108.4288864,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
341.947052,556.4387207,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
346,303.47,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
349.0620728,802.1691284,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
354.4049988,481.7190552,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
364.4240112,175.580658,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
369.25,665.5759277,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
372.4160156,580.9468384,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
395.1670227,938.0441895,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:799,RT: 4.04,4.04,4,4.1
120.666008,104.5281601,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
133.1730042,145.4022369,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
